RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,bid_start_date,bid_end_date,bid_location,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
4,1428,Π,-9,1265,Loss,1,1,6,1.5,5.0,18.0,-56,9,Central Washington University A 8/15/2019,Central Washington University A 8/15/2019,False,False,False,False,,Celebre Fouka-Nganga University of Orego,Witness,16,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1428,Π,-11,1265,Loss,1,1,6,1.5,5.0,18.0,-56,9,Central Washington University A 8/15/2019,Central Washington University A 8/15/2019,False,False,False,False,,Celebre Fouka-Nganga University of Orego,Witness,16,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1540,Δ,-29,1318,Loss,2,0,6,2.0,14.5,67.5,-52,11,Washington State University A 8/19/2019,Washington State University A 8/19/2019,False,False,False,False,,Julia Mueller University of Orego,Attorney,16,∏,Julia Mueller University of Orego,Attorney,16,∆,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1540,Δ,-10,1318,Loss,2,0,6,2.0,14.5,67.5,-52,11,Washington State University A 8/19/2019,Washington State University A 8/19/2019,False,False,False,False,,Julia Mueller University of Orego,Attorney,16,∏,Julia Mueller University of Orego,Attorney,16,∆,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1439,Π,-2,1318,Loss,2,0,6,2.0,14.5,67.5,-52,11,Washington State University A 8/19/2019,Washington State University A 8/19/2019,False,False,False,False,,Julia Mueller University of Orego,Attorney,16,∏,Julia Mueller University of Orego,Attorney,16,∆,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1439,Π,5,1318,Win,2,0,6,2.0,14.5,67.5,-52,11,Washington State University A 8/19/2019,Washington State University A 8/19/2019,False,False,False,False,,Julia Mueller University of Orego,Attorney,16,∏,Julia Mueller University of Orego,Attorney,16,∆,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1492,Δ,-11,1318,Loss,2,0,6,2.0,14.5,67.5,-52,11,Washington State University A 8/19/2019,Washington State University A 8/19/2019,False,False,False,False,,Julia Mueller University of Orego,Attorney,16,∏,Julia Mueller University of Orego,Attorney,16,∆,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1492,Δ,-3,1318,Loss,2,0,6,2.0,14.5,67.5,-52,11,Washington State University A 8/19/2019,Washington State University A 8/19/2019,False,False,False,False,,Julia Mueller University of Orego,Attorney,16,∏,Julia Mueller University of Orego,Attorney,16,∆,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1427,Π,1,1318,Win,2,0,6,2.0,14.5,67.5,-52,11,Washington State University A 8/19/2019,Washington State University A 8/19/2019,False,False,False,False,,Julia Mueller University of Orego,Attorney,16,∏,Julia Mueller University of Orego,Attorney,16,∆,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1427,Π,-3,1318,Loss,2,0,6,2.0,14.5,67.5,-52,11,Washington State University A 8/19/2019,Washington State University A 8/19/2019,False,False,False,False,,Julia Mueller University of Orego,Attorney,16,∏,Julia Mueller University of Orego,Attorney,16,∆,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1752,Δ,-16,1319,Loss,1,1,6,1.5,18.0,80.5,-74,19,Washington State University B,Washington State University B,False,False,False,False,,,,,,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1752,Δ,-11,1319,Loss,1,1,6,1.5,18.0,80.5,-74,19,Washington State University B,Washington State University B,False,False,False,False,,,,,,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
